state,district,year,week_number,bottleneck_label,rationale,current_bio_updates,current_demo_updates,update_backlog,completion_rate,shap_explanation,top_feature
Andhra Pradesh,Kurnool,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (14.67),704,48,-656,14.666666666666666,Feature importance analysis pending,N/A
Andhra Pradesh,Visakhapatnam,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.18),510,71,-439,7.183098591549296,Feature importance analysis pending,N/A
Andhra Pradesh,Chittoor,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (8.56),565,66,-499,8.56060606060606,Feature importance analysis pending,N/A
Andhra Pradesh,East Godavari,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.09),499,82,-417,6.085365853658536,Feature importance analysis pending,N/A
Andhra Pradesh,Nellore,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (12.71),356,28,-328,12.714285714285714,Feature importance analysis pending,N/A
Andhra Pradesh,Ananthapur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.28),154,36,-118,4.277777777777778,Feature importance analysis pending,N/A
Assam,Nalbari,2026,1,NORMAL,No bottleneck indicators detected,48,-1,-49,-48.0,Feature importance analysis pending,N/A
Assam,Barpeta,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.82),191,50,-141,3.82,Feature importance analysis pending,N/A
Assam,Biswanath,2026,1,NORMAL,No bottleneck indicators detected,29,-1,-30,-29.0,Feature importance analysis pending,N/A
Bihar,Kishanganj,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (31.18),873,28,-845,31.178571428571427,Feature importance analysis pending,N/A
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2026,1,OPERATIONAL_BOTTLENECK,Low completion rate (0.29); Significant backlog (29); Bio/Demo ratio low (0.29),12,41,29,0.2926829268292683,Feature importance analysis pending,N/A
Assam,Charaideo,2026,1,CAPACITY_STRAIN,High child saturation (0.52); Bio updates declining week-over-week,25,-1,-26,-25.0,Feature importance analysis pending,N/A
Arunachal Pradesh,Lower Subansiri,2026,1,NORMAL,No bottleneck indicators detected,11,-1,-12,-11.0,Feature importance analysis pending,N/A
Arunachal Pradesh,Tirap,2026,1,NORMAL,No bottleneck indicators detected,11,-1,-12,-11.0,Feature importance analysis pending,N/A
Bihar,Sheikhpura,2026,1,CAPACITY_STRAIN,High child saturation (0.75); Bio updates declining week-over-week,83,-1,-84,-83.0,Feature importance analysis pending,N/A
Chhattisgarh,Bilaspur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.42),745,116,-629,6.422413793103448,Feature importance analysis pending,N/A
Bihar,Madhubani,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (10.33),940,91,-849,10.32967032967033,Feature importance analysis pending,N/A
Chhattisgarh,Janjgir-champa,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (23.79),666,28,-638,23.785714285714285,Feature importance analysis pending,N/A
Bihar,Katihar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (13.57),787,58,-729,13.56896551724138,Feature importance analysis pending,N/A
Andaman and Nicobar Islands,South Andaman,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,52,-1,-53,-52.0,Feature importance analysis pending,N/A
Arunachal Pradesh,Tawang,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,51,-1,-52,-51.0,Feature importance analysis pending,N/A
Arunachal Pradesh,Leparada,2025,52,NORMAL,No bottleneck indicators detected,0,-1,-1,-0.0,Feature importance analysis pending,N/A
Arunachal Pradesh,Papum Pare,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,30,-1,-31,-30.0,Feature importance analysis pending,N/A
Chhattisgarh,Baloda Bazar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (26.65),613,23,-590,26.65217391304348,Feature importance analysis pending,N/A
Arunachal Pradesh,Lohit,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,13,-1,-14,-13.0,Feature importance analysis pending,N/A
Arunachal Pradesh,East Kameng,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,10,-1,-11,-10.0,Feature importance analysis pending,N/A
Chhattisgarh,Gaurela-pendra-marwahi,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,10,-1,-11,-10.0,Feature importance analysis pending,N/A
Arunachal Pradesh,Kurung Kumey,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,0,-1,-1,-0.0,Feature importance analysis pending,N/A
Assam,Sribhumi,2026,1,NORMAL,No bottleneck indicators detected,0,-1,-1,-0.0,Feature importance analysis pending,N/A
Andhra Pradesh,K.V.Rangareddy,2026,1,CAPACITY_STRAIN,High child saturation (1.00); Bio updates declining week-over-week,0,-1,-1,-0.0,Feature importance analysis pending,N/A
Bihar,Pashchim Champaran,2026,1,NORMAL,No bottleneck indicators detected,0,-1,-1,-0.0,Feature importance analysis pending,N/A
Andhra Pradesh,Guntur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.51),518,69,-449,7.507246376811594,Feature importance analysis pending,N/A
Andhra Pradesh,Cuddapah,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (14.35),488,34,-454,14.352941176470589,Feature importance analysis pending,N/A
Chhattisgarh,Durg,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (15.06),512,34,-478,15.058823529411764,Feature importance analysis pending,N/A
Andhra Pradesh,Krishna,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (10.04),462,46,-416,10.043478260869565,Feature importance analysis pending,N/A
Chhattisgarh,Bemetara,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (43.55),479,11,-468,43.54545454545455,Feature importance analysis pending,N/A
Bihar,Sitamarhi,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.27),640,88,-552,7.272727272727272,Feature importance analysis pending,N/A
Andhra Pradesh,Prakasam,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.48),421,65,-356,6.476923076923077,Feature importance analysis pending,N/A
Bihar,West Champaran,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.27),721,115,-606,6.269565217391304,Feature importance analysis pending,N/A
Chhattisgarh,Balod,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (19.17),345,18,-327,19.166666666666668,Feature importance analysis pending,N/A
Andhra Pradesh,Sri Potti Sriramulu Nellore,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.36),26,11,-15,2.363636363636364,Feature importance analysis pending,N/A
Andhra Pradesh,Vizianagaram,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (8.69),313,36,-277,8.694444444444445,Feature importance analysis pending,N/A
Bihar,Darbhanga,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.63),550,83,-467,6.626506024096385,Feature importance analysis pending,N/A
Chhattisgarh,Mahasamund,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (28.57),400,14,-386,28.571428571428573,Feature importance analysis pending,N/A
Bihar,Jamui,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (33.62),538,16,-522,33.625,Feature importance analysis pending,N/A
Assam,Nagaon,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.23),405,56,-349,7.232142857142857,Feature importance analysis pending,N/A
Chhattisgarh,Korba,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (12.45),361,29,-332,12.448275862068966,Feature importance analysis pending,N/A
Chhattisgarh,Bastar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (18.65),373,20,-353,18.65,Feature importance analysis pending,N/A
Bihar,Purnia,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (8.40),479,57,-422,8.403508771929825,Feature importance analysis pending,N/A
Chhattisgarh,Balrampur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (14.76),428,29,-399,14.758620689655173,Feature importance analysis pending,N/A
Chhattisgarh,Kanker,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (21.50),215,10,-205,21.5,Feature importance analysis pending,N/A
Chhattisgarh,Kawardha,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.83),280,41,-239,6.829268292682927,Feature importance analysis pending,N/A
Bihar,Araria,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.58),449,98,-351,4.581632653061225,Feature importance analysis pending,N/A
Bihar,East Champaran,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.88),574,148,-426,3.8783783783783785,Feature importance analysis pending,N/A
Bihar,Vaishali,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.45),490,76,-414,6.447368421052632,Feature importance analysis pending,N/A
Bihar,Samastipur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.55),428,94,-334,4.553191489361702,Feature importance analysis pending,N/A
Assam,Dhubri,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.55),296,65,-231,4.553846153846154,Feature importance analysis pending,N/A
Bihar,Khagaria,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.95),417,60,-357,6.95,Feature importance analysis pending,N/A
Chhattisgarh,Koriya,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (9.24),268,29,-239,9.241379310344827,Feature importance analysis pending,N/A
Bihar,Nalanda,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.67),506,66,-440,7.666666666666667,Feature importance analysis pending,N/A
Arunachal Pradesh,West Kameng,2026,1,NORMAL,No bottleneck indicators detected,94,0,-94,,Feature importance analysis pending,N/A
Assam,Goalpara,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (9.14),201,22,-179,9.136363636363637,Feature importance analysis pending,N/A
Bihar,Muzaffarpur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.06),398,130,-268,3.0615384615384613,Feature importance analysis pending,N/A
Bihar,Supaul,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.31),372,59,-313,6.305084745762712,Feature importance analysis pending,N/A
Bihar,Begusarai,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.69),347,74,-273,4.6891891891891895,Feature importance analysis pending,N/A
Andhra Pradesh,Adilabad,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.00),56,14,-42,4.0,Feature importance analysis pending,N/A
Assam,Kamrup,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (5.80),145,25,-120,5.8,Feature importance analysis pending,N/A
Assam,Dibrugarh,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.00),77,11,-66,7.0,Feature importance analysis pending,N/A
Andhra Pradesh,Anantapur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.05),121,20,-101,6.05,Feature importance analysis pending,N/A
Bihar,Siwan,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (5.06),420,83,-337,5.0602409638554215,Feature importance analysis pending,N/A
Andhra Pradesh,Warangal,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.27),47,11,-36,4.2727272727272725,Feature importance analysis pending,N/A
Assam,Cachar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.94),250,36,-214,6.944444444444445,Feature importance analysis pending,N/A
Andhra Pradesh,Khammam,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.29),46,14,-32,3.2857142857142856,Feature importance analysis pending,N/A
Chhattisgarh,Kondagaon,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (8.55),248,29,-219,8.551724137931034,Feature importance analysis pending,N/A
Bihar,Bhagalpur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.73),336,71,-265,4.732394366197183,Feature importance analysis pending,N/A
Assam,Darrang,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (5.96),167,28,-139,5.964285714285714,Feature importance analysis pending,N/A
Assam,Marigaon,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.05),123,60,-63,2.05,Feature importance analysis pending,N/A
Assam,Golaghat,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (17.50),175,10,-165,17.5,Feature importance analysis pending,N/A
Bihar,Patna,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.73),436,117,-319,3.726495726495727,Feature importance analysis pending,N/A
Andhra Pradesh,Nandyal,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.27),25,11,-14,2.272727272727273,Feature importance analysis pending,N/A
Andhra Pradesh,Hyderabad,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (12.33),148,12,-136,12.333333333333334,Feature importance analysis pending,N/A
Arunachal Pradesh,Namsai,2026,1,NORMAL,No bottleneck indicators detected,21,0,-21,,Feature importance analysis pending,N/A
Assam,Karimganj,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (5.78),231,40,-191,5.775,Feature importance analysis pending,N/A
Assam,Lakhimpur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.77),83,30,-53,2.7666666666666666,Feature importance analysis pending,N/A
Arunachal Pradesh,Kamle,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Andhra Pradesh,Mahabubnagar,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Assam,Sonitpur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.03),88,29,-59,3.034482758620689,Feature importance analysis pending,N/A
Chhattisgarh,Janjgir Champa,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Andhra Pradesh,K.v. Rangareddy,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Andaman & Nicobar Islands,Andamans,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Andhra Pradesh,Karim Nagar,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Andaman & Nicobar Islands,South Andaman,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
Bihar,Purnea,2026,1,NORMAL,No bottleneck indicators detected,-1,0,1,,Feature importance analysis pending,N/A
100000,100000,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Bihar,Aurangabad(BH),2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Assam,Bajali,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Andhra Pradesh,Mahbubnagar,2026,1,NORMAL,No bottleneck indicators detected,-1,-1,0,1.0,Feature importance analysis pending,N/A
Chhattisgarh,Bijapur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (13.00),143,11,-132,13.0,Feature importance analysis pending,N/A
Assam,Bongaigaon,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.04),105,26,-79,4.038461538461538,Feature importance analysis pending,N/A
Bihar,Madhepura,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.57),302,46,-256,6.565217391304348,Feature importance analysis pending,N/A
Bihar,Gaya,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.45),396,89,-307,4.449438202247191,Feature importance analysis pending,N/A
Bihar,Saran,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (5.25),383,73,-310,5.2465753424657535,Feature importance analysis pending,N/A
Chhattisgarh,Jashpur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.22),287,68,-219,4.220588235294118,Feature importance analysis pending,N/A
Andhra Pradesh,Rangareddi,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (5.71),80,14,-66,5.714285714285714,Feature importance analysis pending,N/A
Bihar,Banka,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.52),285,63,-222,4.523809523809524,Feature importance analysis pending,N/A
Assam,Kamrup Metro,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.56),57,16,-41,3.5625,Feature importance analysis pending,N/A
Assam,Tinsukia,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (1.91),86,45,-41,1.9111111111111112,Feature importance analysis pending,N/A
Assam,Jorhat,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.18),79,11,-68,7.181818181818182,Feature importance analysis pending,N/A
Assam,Hojai,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.58),103,40,-63,2.575,Feature importance analysis pending,N/A
Assam,Udalguri,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (5.21),99,19,-80,5.2105263157894735,Feature importance analysis pending,N/A
Assam,Hailakandi,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.25),125,20,-105,6.25,Feature importance analysis pending,N/A
Assam,Sibsagar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (8.17),98,12,-86,8.166666666666666,Feature importance analysis pending,N/A
Assam,Sivasagar,2025,27,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Assam,Baksa,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (5.33),64,12,-52,5.333333333333333,Feature importance analysis pending,N/A
Assam,Kokrajhar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.60),76,10,-66,7.6,Feature importance analysis pending,N/A
Bihar,Rohtas,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.74),270,57,-213,4.7368421052631575,Feature importance analysis pending,N/A
Assam,Dhemaji,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (2.36),66,28,-38,2.357142857142857,Feature importance analysis pending,N/A
Bihar,Saharsa,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (5.06),177,35,-142,5.057142857142857,Feature importance analysis pending,N/A
Bihar,Aurangabad,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.01),281,70,-211,4.014285714285714,Feature importance analysis pending,N/A
Chhattisgarh,Gaurella Pendra Marwahi,2025,27,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Bihar,Gopalganj,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.80),232,61,-171,3.80327868852459,Feature importance analysis pending,N/A
Assam,Karbi Anglong,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.92),83,12,-71,6.916666666666667,Feature importance analysis pending,N/A
Andhra Pradesh,Spsr Nellore,2025,27,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
Bihar,Kaimur (Bhabua),2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (10.36),145,14,-131,10.357142857142858,Feature importance analysis pending,N/A
Bihar,Sheohar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (6.83),82,12,-70,6.833333333333333,Feature importance analysis pending,N/A
Bihar,Bhojpur,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.09),227,32,-195,7.09375,Feature importance analysis pending,N/A
Chhattisgarh,ManendragarhChirmiriBharatpur,2025,27,NORMAL,No bottleneck indicators detected,10,0,-10,,Feature importance analysis pending,N/A
Bihar,Nawada,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (4.36),192,44,-148,4.363636363636363,Feature importance analysis pending,N/A
Bihar,Buxar,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (1.98),111,56,-55,1.9821428571428568,Feature importance analysis pending,N/A
Assam,Chirang,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (3.59),61,17,-44,3.588235294117647,Feature importance analysis pending,N/A
Arunachal Pradesh,Pakke Kessang,2026,1,NORMAL,No bottleneck indicators detected,0,0,0,,Feature importance analysis pending,N/A
